id,name,application_name,img,price_mode,website_url,power_supply,wide-voltage_power_supply_surcharge,cabinet,package,remark
11,EA640C3,Rental LED Display,/images/products/EA640C3.jpg,pcs,https://www.eagerled.com/products/ea500h9-rental-led-board/,4.5V40A,14USD/箱体,压铸铝,航空箱,"用于户外小间距固装屏。"
12,EA1000TOR1,Transparent LED Display,/images/products/EA1000TOR1.jpg,pcs,https://www.eagerled.com/products/ea500h9-rental-led-board/,400W,核价,压铸铝,航空箱,"默认带弧形锁。改银灰色+30USD。电源32USD。"
13,EA500TOR1,Transparent LED Display,/images/products/EA500TOR1.jpg,pcs,https://www.eagerled.com/products/ea500h9-rental-led-board/,400W,核价,压铸铝,航空箱,"默认弧形锁。改银灰+20USD。支持拼接。"
14,EA-Flex,Flexible LED Screen,/images/products/EA-Flex.jpg,m2,https://www.eagerled.com/products/ea500h9-rental-led-board/,"4.5V40A(室内), 4.5V50A(户外)",10USD/箱体,压铸铝,航空箱,"标准配置说明同上。"
15,EA-DCan,Flexible LED Screen,/images/products/EA-DCan.jpg,pcs,https://www.eagerled.com/products/ea500h9-rental-led-board/,"4.5V40A(室内), 4.5V50A(户外)",5USD/箱体,压铸铝,航空箱,"标准配置说明同上。"
16,EA-FD,Flexible LED Screen,/images/products/EA-FD.jpg,pcs,https://www.eagerled.com/products/ea500h9-rental-led-board/,"4.5V40A(室内), 4.5V60A(户外)",14USD/箱体,压铸铝,航空箱,"默认带护角。弧形箱体+15USD。室内全前维护+15USD。高强度租赁箱。"
17,EA-PD,Flexible LED Screen,/images/products/EA-PD.jpg,pcs,https://www.eagerled.com/products/ea500h9-rental-led-board/,"4.5V40A(室内), 4.5V60A(户外)",7USD/箱体,压铸铝,航空箱,"默认带护角。弧形箱体+15USD。室内全前维护+10USD。高强度租赁箱。"
18,EAiBall,Flexible LED Screen,/images/products/EAiBall.jpg,pcs,https://www.eagerled.com/products/ea500h9-rental-led-board/,"4.5V40A(室内), 4.5V50A(户外)",5USD/箱体,压铸铝,航空箱,"默认带护角。弧度45度。备品控制后盖55/60USD。MOQ:12箱体。支持多型号互拼。"
19,EA640F2,Indoor LED Screen,/images/products/EA640F2.jpg,m2,https://www.eagerled.com/products/ea500h9-rental-led-board/,"4.5V40A(室内), 4.5V50A(户外)",5USD/箱体,压铸铝,航空箱,"默认带护角。弧形箱体+15USD。备品控制后盖55/60USD。MOQ:100张模组。"
20,EA640H1,Indoor LED Screen,/images/products/EA640H1.jpg,m2,https://www.eagerled.com/products/ea500h9-rental-led-board/,"4.5V40A(室内), 4.5V50A(户外)",5USD/箱体,压铸铝,航空箱,"默认带弧形锁。支持直屏/弧形拼接。备品55/60USD。MOQ:100张模组。"
21,EA600COB3,Indoor LED Screen,/images/products/EA600COB3.jpg,m2,https://www.eagerled.com/products/ea500h9-rental-led-board/,"4.5V40A(室内), 4.5V50A(户外)",5USD/箱体,压铸铝,航空箱,"默认带弧形锁。支持拼接。MOQ:60张模组。"
22,EA250WH5,Indoor LED Screen,/images/products/EA250WH5.jpg,m2,https://www.eagerled.com/products/ea500h9-rental-led-board/,"4.5V40A(室内), 4.5V50A(户外)",10USD/箱体,压铸铝,航空箱,"默认带护角。弧形箱体+15USD。备品70/80USD。MOQ:100张模组。"
23,EA960F4,Commercial LED Display,/images/products/EA960F4.jpg,m2,https://www.eagerled.com/products/ea500h9-rental-led-board/,4.5V60A,8USD/箱体,压铸铝,航空箱,"默认带护角。弧形箱体+15USD。备品55/62USD。MOQ:100张模组。"
24,EA960F3,Commercial LED Display,/images/products/EA960F3.jpg,m2,https://www.eagerled.com/products/ea500h9-rental-led-board/,4.5V40A,14USD/箱体,压铸铝,航空箱,"适用于户外小间距固装屏。"
25,EA1000F2,Commercial LED Display,/images/products/EA1000F2.jpg,m2,https://www.eagerled.com/products/ea500h9-rental-led-board/,400W,核价,压铸铝,航空箱,"默认弧形锁。银灰外观+30USD。电源32USD。"
26,EA1000F1,Commercial LED Display,/images/products/EA1000F1.jpg,m2,https://www.eagerled.com/products/ea500h9-rental-led-board/,400W,核价,压铸铝,航空箱,"默认弧形锁。银灰外观+20USD。支持拼接。"
27,EA960R4,Commercial LED Display,/images/products/EA960R4.jpg,m2,https://www.eagerled.com/products/ea500h9-rental-led-board/,"4.5V40A(室内), 4.5V50A(户外)",10USD/箱体,压铸铝,航空箱,"默认带护角。弧形箱体+15USD。备品70/80USD。MOQ:100张模组。"
28,EA1920iP4,LED Poster Display,/images/products/EA1920iP4.jpg,pcs,https://www.eagerled.com/products/ea500h9-rental-led-board/,"4.5V40A(室内), 4.5V50A(户外)",5USD/箱体,压铸铝,航空箱,"默认带护角。弧形箱体+15USD。备品55/60USD。MOQ:100张模组。"
29,EA1920iP5,LED Poster Display,/images/products/EA1920iP5.jpg,pcs,https://www.eagerled.com/products/ea500h9-rental-led-board/,"4.5V40A(室内), 4.5V60A(户外)",14USD/箱体,压铸铝,航空箱,"默认带护角。弧形箱体+15USD。前维护+15USD。"
30,EA3DiPoster,LED Poster Display,/images/products/EA3DiPoster.jpg,pcs,https://www.eagerled.com/products/ea500h9-rental-led-board/,"4.5V40A(室内), 4.5V60A(户外)",7USD/箱体,压铸铝,航空箱,"默认带护角。弧形箱体+15USD。前维护+10USD。"
31,EA1920OP2,LED Poster Display,/images/products/EA1920OP2.jpg,pcs,https://www.eagerled.com/products/ea500h9-rental-led-board/,"4.5V40A(室内), 4.5V50A(户外)",5USD/箱体,压铸铝,航空箱,"默认带护角。弧度45度。备品55/60USD。MOQ:12箱体。"
32,EA960SP4,Stadium Perimeter LED Display,/images/products/EA960SP4.jpg,m2,https://www.eagerled.com/products/ea500h9-rental-led-board/,"4.5V40A(室内), 4.5V50A(户外)",5USD/箱体,压铸铝,航空箱,"默认带护角。弧形箱体+15USD。备品55/60USD。MOQ:100张模组。"
33,EA1600SP,Stadium Perimeter LED Display,/images/products/EA1600SP.jpg,m2,https://www.eagerled.com/products/ea500h9-rental-led-board/,"4.5V40A(室内), 4.5V50A(户外)",5USD/箱体,压铸铝,航空箱,"默认弧形锁。支持拼接。MOQ:100张模组。"
34,EA250INV,,/images/products/EA250INV.jpg,,https://www.eagerled.com/products/ea500h9-rental-led-board/,"4.5V40A(室内), 4.5V50A(户外)",5USD/箱体,压铸铝,航空箱,"默认弧形锁。支持拼接。MOQ:60张模组。"
35,EA1000TOF2,Transparent LED Display,/images/products/EA1000TOF2.jpg,m2,https://www.eagerled.com/products/ea500h9-rental-led-board/,"4.5V40A(室内), 4.5V50A(户外)",10USD/箱体,压铸铝,航空箱,"默认带护角。弧形箱体+15USD。备品70/80USD。MOQ:100张模组。"
36,EA1000TiF2,Transparent LED Display,/images/products/EA1000TiF2.jpg,m2,https://www.eagerled.com/products/ea500h9-rental-led-board/,4.5V60A,8USD/箱体,压铸铝,航空箱,"默认带护角。弧形箱体+15USD。备品55/62USD。MOQ:100张模组。"
37,EA-iFloor,Commercial LED Display,/images/products/EA-iFloor.jpg,m2,https://www.eagerled.com/products/ea500h9-rental-led-board/,4.5V40A,14USD/箱体,压铸铝,航空箱,"适用于户外小间距固装屏。"
38,EA-OFloor,Commercial LED Display,/images/products/EA-OFloor.jpg,m2,https://www.eagerled.com/products/ea500h9-rental-led-board/,400W,核价,压铸铝,航空箱,"默认弧形锁。银灰外观+30USD。电源32USD。"
39,EA500RF2,Indoor LED Screen,/images/products/EA500RF2.jpg,m2,https://www.eagerled.com/products/ea500h9-rental-led-board/,400W,核价,压铸铝,航空箱,"默认弧形锁。银灰外观+20USD。支持拼接。"
40,EA-OFixed,Commercial LED Display,/images/products/EA-OFixed.jpg,m2,https://www.eagerled.com/products/ea500h9-rental-led-board/,400W,核价,压铸铝,航空箱,"默认弧形锁。银灰外观+20USD。支持拼接。"
